code,name,gender,function,country_code,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,lang,coach,sporting_relatives
1893546,SMITH John,Male,Athlete,RSA,RSA,0,0,['Rowing'],"[""Men's Pair""]",1/12/90,GERMISTON,South Africa,,,Bean,Fishing,Athlete,,English,National: Tiago Loureiro (RSA),
1893557,NAPARE Souleymane,Male,Athlete,BUR,BUR,0,0,['Swimming'],"[""Men's 50m Freestyle""]",3/31/03,,,,,,,Athlete,,,,
1893571,SCHOEMAN Henri,Male,Athlete,RSA,RSA,0,0,['Triathlon'],"[""Men's Individual""]",10/3/91,VEREENIGING,South Africa,DURBAN,South Africa,,"Spending time with his wife, playing with his pet dogs and rabbits, watching television",Athlete,Marketing at Varsity College (RSA),"Afrikaans, English","Joe Schoeman (RSA), his father","Brother, Riaan (swimming), represented South Africa, bronze medallist in the 400m medley at the 2010 Commonwealth Games"
1893574,van der MERWE Vicky,Female,Athlete,RSA,RSA,0,0,['Triathlon'],"[""Women's Individual""]",9/15/89,CAPE TOWN,South Africa,STELLENBOSCH,South Africa,,,"Athlete, coach","Law, UNISA (RSA)","Afrikaans, English",,
1893575,RIDDLE Jamie,Male,Athlete,RSA,RSA,0,0,['Triathlon'],"[""Men's Individual""]",6/26/00,PORT ELIZABETH,South Africa,STELLENBOSCH,South Africa,,,Athlete,,"Afrikaans, English",Personal: Nico Montavon (SUI),"Father, Alec Riddle (triathlon), has competed in Ironman competitions on international level. In 2011, he was the age group world champion (50+) in the Ironman 70.3"
1893578,DIAZ AMARO Noslen,Male,Athlete,CUB,CUB,207,0,['Beach Volleyball'],['Men'],8/13/02,HAVANA,Cuba,HAVANA,Cuba,,,Athlete,,Spanish,Personal: Francisco Álvarez Cutiño (CUB),
1893580,ALAYO MOLINER Jorge Luis,Male,Athlete,CUB,CUB,198,0,['Beach Volleyball'],['Men'],6/6/01,VILLA CLARA,Cuba,VILLA CLARA,Cuba,,,Athlete,,Spanish,Personal: Francisco Álvarez Cutiño (CUB),
1893596,MASHAYIKH Syaqiera,Female,Athlete,MAS,MAS,0,0,['Archery'],"[""Women's Individual"", ""Women's Team""]",11/24/00,SEGAMAT,Malaysia,SEGAMAT,Malaysia,,Reading,Athlete,"Studied Communications at the University Putra Malaysia (Seri Kambangan, MAS)",Malay,"National: Muhammad Marbawi Sulaiman (MAS), Wan Khalmizam Wan Abdul Aziz (MAS)",
1893598,MOHAMAD FAZIL Nurul Azreena,Female,Athlete,MAS,MAS,0,0,['Archery'],"[""Women's Individual"", ""Women's Team""]",3/28/04,,Malaysia,,,,Listening to music,"Athlete, student",,Malay,"National: Muhammad Marbawi Sulaiman (MAS), Wan Khalmizam Wan Abdul Aziz (MAS)",
1893601,MOHAMAD ZAIRI Ariana Nur Dania,Female,Athlete,MAS,MAS,0,0,['Archery'],"[""Women's Individual"", ""Women's Team""]",7/27/05,KUALA LUMPUR,Malaysia,,,Nana,,"Athlete, student","Studies Product Design and Manufacturing at the German-Malaysian Institute (Selangor, MAS)",Malay,"National: Muhammad Marbawi Sulaiman (MAS), Wan Khalmizam Wan Abdul Aziz (MAS)",
1893623,FORD Tayla Tuahine,Female,Athlete,NZL,NZL,0,0,['Wrestling'],"[""Women's Freestyle 68kg""]",7/2/93,NELSON,New Zealand,"ADELAIDE, SA",Australia,,"Her four cats (Peanut, Chip, Oreo, Mayo)","Athlete, coach",,English,,
1893762,ROJAS Marcos,Male,Athlete,CUB,CUB,0,0,['Modern Pentathlon'],"[""Men's Individual""]",8/25/00,LAS TUNAS,Cuba,,Cuba,,,,,Spanish,,
1893811,HERNANDEZ HERNANDEZ Lisbet,Female,Athlete,CUB,CUB,0,0,['Shooting'],"['10m Air Rifle Women', '50m Rifle 3 Positions Women']",11/29/91,SANCTI SPIRITUS,Cuba,LA HABANA,Cuba,Lis,"Reading, knitting",Athlete,"Studied Physical Culture at the University of Physical Culture and Sports Sciences Manuel Fajardo (UCCFD) (Havana, CUB)",Spanish,Personal: Yoleisy Lois (CUB),
1893824,HORACEK Tamara,Female,Athlete,FRA,FRA,178,0,['Handball'],['Women'],11/5/95,POZEGA,Croatia,METZ,France,"Tamy, Tam",,Athlete,,French,National: Olivier Krumbholz (FRA).<br>Club: Helle Thomsen (DEN),"Mother, Vesna Tadic Horacek (handball), played professional handball in Croatia, Austria, and France. Silver medallist with the Croatian national team at the 1997 Mediterranean Games"
1893845,BAN Hyojin,Female,Athlete,KOR,KOR,0,0,['Shooting'],"['10m Air Rifle Women', '10m Air Rifle Mixed Team']",9/20/07,DAEGU,Korea,DAEGU,Korea,,Listening to music,"Athlete, student",,Korean,Personal: Kim Se-Ho (KOR),
1893852,CHO Yeongjae,Male,Athlete,KOR,KOR,0,0,['Shooting'],"['10m Air Pistol Men', '25m Rapid Fire Pistol Men', '10m Air Pistol Mixed Team']",1/15/99,GANGWON,Korea,DAMYANG,Korea,Jo Youngjjai,Reading,"Athlete, soldier","Received a Bachelor's degree in Physical Education in 2022 from Korea National Sport University (Seoul, KOR)",Korean,Club: Park Byeong-Taek (KOR),
